"year","name","homeless_per_100k"
"2014","Kansas",95.8826283623089
"2014","Kentucky",115.328386760056
"2014","Louisiana",99.0752830184621
"2014","Massachusetts",314.383570160962
"2014","Maryland",131.473558183911
"2014","Maine",204.92296219675
"2014","Michigan",123.301963452923
"2014","Minnesota",153.505737911446
"2014","Missouri",120.089178005903
"2014","Mississippi",74.3625317068005
"2014","Montana",170.534726538526
"2014","North Carolina",115.599121040257
"2014","North Dakota",169.990811307497
"2014","Nebraska",160.702715907763
"2014","New Hampshire",103.614769924006
"2014","New Jersey",130.564981333157
"2014","New Mexico",131.666832089307
"2014","Nevada",302.366115264838
"2014","New York",408.074228899717
"2014","Ohio",101.948797438785
"2014","Oklahoma",108.02632223342
"2014","Oregon",306.305244608559
"2014","Pennsylvania",119.847422576947
"2014","Rhode Island",112.806152580275
"2014","South Carolina",104.718004787582
"2014","South Dakota",103.71450268603
"2014","Tennessee",143.789214632931
"2014","Texas",105.618879933554
"2014","Utah",104.635832661459
"2014","Virginia",84.2929562068074
"2014","Vermont",248.736771399898
"2014","Washington",261.101041657523
"2014","Wisconsin",105.131894950752
"2014","West Virginia",108.884322442557
"2014","Wyoming",129.555847640954
"2015","Alaska",264.885595423817
"2015","Alabama",81.7044074485607
"2015","Arkansas",85.9578457352149
"2015","Arizona",144.931250654468
"2015","California",295.666210531366
"2015","Colorado",182.403830682036
"2015","Connecticut",112.701990539382
"2015","District of Columbia",1085.64356141071
"2015","Delaware",100.74698657623
"2015","Florida",177.097914723852
"2015","Georgia",134.999402830778
"2015","Hawaii",532.270468838079
"2015","Iowa",98.6267481759173
"2015","Idaho",118.796565413643
"2015","Illinois",102.465047614715
"2015","Indiana",88.5692359751529
"2015","Kansas",88.8845843289059
"2015","Kentucky",102.551540171368
"2015","Louisiana",87.3740345179891
"2015","Massachusetts",311.06398748856
"2015","Maryland",139.684313451599
"2015","Maine",178.436021809516
"2015","Michigan",105.980543762023
"2015","Minnesota",137.46007446088
"2015","Missouri",106.547493027238
"2015","Mississippi",66.2693624005082
"2015","Montana",165.448632991561
"2015","North Carolina",106.394609791172
"2015","North Dakota",172.407643009167
"2015","Nebraska",144.711236743153
"2015","New Hampshire",108.5969722112
"2015","New Jersey",112.725891333268
"2015","New Mexico",126.084535628593
"2015","Nevada",302.437522592875
"2015","New York",445.801837370378
"2015","Ohio",96.2851348822823
"2015","Oklahoma",96.5654208355299
"2015","Oregon",328.271916171276
"2015","Pennsylvania",120.453008290644
"2015","Rhode Island",105.178652236395
"2015","South Carolina",109.351314278618
"2015","South Dakota",120.679954663476
"2015","Tennessee",138.221010896628
"2015","Texas",86.1986302142836
"2015","Utah",100.970687124719
"2015","Virginia",83.5143247763657
"2015","Vermont",243.274412898815
"2015","Washington",270.823562193817
"2015","Wisconsin",104.949684969012
"2015","West Virginia",99.5050235124677
"2015","Wyoming",136.152613771888
